Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
WARNING:huggingface_hub.utils._http:Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
/home/ubuntu/Lost-in-Mistranslation/evaluate/evaluate_crosslingual_consistency.py:360: DeprecationWarning: Use torch_xla.device instead
  return xm.xla_device(), "xla"
2026-Jul-10 20:09:17.0133 10921:10988 [3] net_plugin.cc:80 CCOM WARN NET/Plugin: Error: libnccom-net.so load failed. libfabric.so.1: cannot open shared object file: No such file or directory. Please make sure to install the latest version of libfabric from https://efa-installer.amazonaws.com/aws-efa-installer-latest.tar.gz.
Loading jvonrad/WIKI-FACT [test] from Hugging Face
Loaded 2,523 facts
Loading cached alignment: evaluate/alignments/polyfact_test_alignment.json
Device: xla
Loading model: jvonrad/Qwen-2.5-7B-TED
Loading weights:   0%|          | 0/339 [00:00<?, ?it/s]Loading weights: 100%|██████████| 339/339 [00:00<00:00, 13801.87it/s]
.
Compiler status PASS

[en] scoring 2,523 facts
2026-07-10 20:09:22.000760:  10921  [INFO]: Compilation Successfully Completed for model.MODULE_934831357291328063+fad94d7c.hlo_module.pb
........
Compiler status PASS
2026-07-10 20:11:52.000862:  10921  [INFO]: Compilation Successfully Completed for model.MODULE_1683273595712503774+fad94d7c.hlo_module.pb
  [en] 100/2523  acc so far=0.7700
  [en] 200/2523  acc so far=0.7650
  [en] 300/2523  acc so far=0.7567
  [en] 400/2523  acc so far=0.7400
  [en] 500/2523  acc so far=0.7420
  [en] 600/2523  acc so far=0.7483
  [en] 700/2523  acc so far=0.7486
  [en] 800/2523  acc so far=0.7525
  [en] 900/2523  acc so far=0.7522
  [en] 1000/2523  acc so far=0.7510
  [en] 1100/2523  acc so far=0.7336
  [en] 1200/2523  acc so far=0.7425
  [en] 1300/2523  acc so far=0.7400
  [en] 1400/2523  acc so far=0.7414
  [en] 1500/2523  acc so far=0.7327
  [en] 1600/2523  acc so far=0.7294
  [en] 1700/2523  acc so far=0.7253
  [en] 1800/2523  acc so far=0.7228
  [en] 1900/2523  acc so far=0.7205
  [en] 2000/2523  acc so far=0.7190
  [en] 2100/2523  acc so far=0.7190
  [en] 2200/2523  acc so far=0.7159
  [en] 2300/2523  acc so far=0.7161
  [en] 2400/2523  acc so far=0.7192
  [en] 2500/2523  acc so far=0.7188
[en] accuracy = 0.7190

[de] scoring 2,523 facts
  [de] 100/2523  acc so far=0.6000
  [de] 200/2523  acc so far=0.6400
  [de] 300/2523  acc so far=0.6433
  [de] 400/2523  acc so far=0.6350
  [de] 500/2523  acc so far=0.6300
  [de] 600/2523  acc so far=0.6267
  [de] 700/2523  acc so far=0.6286
  [de] 800/2523  acc so far=0.6288
  [de] 900/2523  acc so far=0.6267
  [de] 1000/2523  acc so far=0.6240
  [de] 1100/2523  acc so far=0.6209
  [de] 1200/2523  acc so far=0.6242
  [de] 1300/2523  acc so far=0.6254
  [de] 1400/2523  acc so far=0.6264
  [de] 1500/2523  acc so far=0.6240
  [de] 1600/2523  acc so far=0.6231
  [de] 1700/2523  acc so far=0.6229
  [de] 1800/2523  acc so far=0.6239
  [de] 1900/2523  acc so far=0.6200
  [de] 2000/2523  acc so far=0.6195
  [de] 2100/2523  acc so far=0.6186
  [de] 2200/2523  acc so far=0.6159
  [de] 2300/2523  acc so far=0.6157
  [de] 2400/2523  acc so far=0.6158
  [de] 2500/2523  acc so far=0.6152
[de] accuracy = 0.6159

[id] scoring 2,523 facts
  [id] 100/2523  acc so far=0.6100
  [id] 200/2523  acc so far=0.6550
  [id] 300/2523  acc so far=0.6500
  [id] 400/2523  acc so far=0.6475
  [id] 500/2523  acc so far=0.6480
  [id] 600/2523  acc so far=0.6450
  [id] 700/2523  acc so far=0.6443
  [id] 800/2523  acc so far=0.6450
  [id] 900/2523  acc so far=0.6467
  [id] 1000/2523  acc so far=0.6390
  [id] 1100/2523  acc so far=0.6373
  [id] 1200/2523  acc so far=0.6408
  [id] 1300/2523  acc so far=0.6385
  [id] 1400/2523  acc so far=0.6364
  [id] 1500/2523  acc so far=0.6293
  [id] 1600/2523  acc so far=0.6275
  [id] 1700/2523  acc so far=0.6218
  [id] 1800/2523  acc so far=0.6178
  [id] 1900/2523  acc so far=0.6168
  [id] 2000/2523  acc so far=0.6165
  [id] 2100/2523  acc so far=0.6181
  [id] 2200/2523  acc so far=0.6150
  [id] 2300/2523  acc so far=0.6152
  [id] 2400/2523  acc so far=0.6138
  [id] 2500/2523  acc so far=0.6132
[id] accuracy = 0.6136

[pt] scoring 2,523 facts
  [pt] 100/2523  acc so far=0.6100
  [pt] 200/2523  acc so far=0.6500
  [pt] 300/2523  acc so far=0.6633
  [pt] 400/2523  acc so far=0.6675
  [pt] 500/2523  acc so far=0.6660
  [pt] 600/2523  acc so far=0.6633
  [pt] 700/2523  acc so far=0.6543
  [pt] 800/2523  acc so far=0.6575
  [pt] 900/2523  acc so far=0.6644
  [pt] 1000/2523  acc so far=0.6660
  [pt] 1100/2523  acc so far=0.6591
  [pt] 1200/2523  acc so far=0.6567
  [pt] 1300/2523  acc so far=0.6585
  [pt] 1400/2523  acc so far=0.6614
  [pt] 1500/2523  acc so far=0.6580
  [pt] 1600/2523  acc so far=0.6600
  [pt] 1700/2523  acc so far=0.6529
  [pt] 1800/2523  acc so far=0.6511
  [pt] 1900/2523  acc so far=0.6521
  [pt] 2000/2523  acc so far=0.6510
  [pt] 2100/2523  acc so far=0.6567
  [pt] 2200/2523  acc so far=0.6545
  [pt] 2300/2523  acc so far=0.6526
  [pt] 2400/2523  acc so far=0.6525
  [pt] 2500/2523  acc so far=0.6508
[pt] accuracy = 0.6524

[ar] scoring 2,523 facts
  [ar] 100/2523  acc so far=0.4700
  [ar] 200/2523  acc so far=0.4300
  [ar] 300/2523  acc so far=0.4167
  [ar] 400/2523  acc so far=0.4125
